Entity,Code,Year,population,Continent,GDP per capita,co2
Sint Maarten (Dutch part),SXM,2016,41000,,,18.58809756
Slovakia,SVK,2016,5442000,,25364,6.411888519
Slovenia,SVN,2016,2074000,,26908,6.949701376
Solomon Islands,SLB,2016,619000,,,0.27228433
Somalia,SOM,2016,14186000,,,0.045457775
South Africa,ZAF,2016,56208000,,12139,8.450418019
South America,,2016,,,,2.727588532
South Korea,KOR,2016,50983000,,36103,12.12090456
South Sudan,SSD,2016,10833000,,,0.159304348
Spain,ESP,2016,46634000,,30110,5.581528834
Sri Lanka,LKA,2016,21021000,,11149,1.095494709
Sudan,SDN,2016,39847000,,3651,0.490338073
Suriname,SUR,2016,565000,,,3.046740664
Swaziland,SWZ,2016,1114000,,7881,1.036050269
Sweden,SWE,2016,9836000,,44659,4.329248879
Switzerland,CHE,2016,8380000,,59662,4.676198879
Syria,SYR,2016,17466000,,3091,1.632213789
Taiwan,TWN,2016,23618000,,42165,11.23227063
Tajikistan,TJK,2016,8664000,,3991,0.595415408
Tanzania,TZA,2016,53049000,,2660,0.218823247
Thailand,THA,2016,68971000,,15454,4.065057037
Timor,TLS,2016,1219000,,,0.405775226
Togo,TGO,2016,7510000,,1400,0.407966977
Tokelau,TKL,2016,1000,,,
Tonga,TON,2016,101000,,,1.26970297
Trinidad and Tobago,TTO,2016,1378000,,29178,31.75087479
Tunisia,TUN,2016,11304000,,11073,2.566183913
Turkey,TUR,2016,79828000,,17906,5.02630328
Turkmenistan,TKM,2016,5662000,,23813,12.39205781
Turks and Caicos Islands,TCA,2016,37000,,,5.842594595
Tuvalu,TUV,2016,11000,,,0.999272727
Uganda,UGA,2016,39649000,,1980,0.136176772
Ukraine,UKR,2016,44714000,,9214,5.237816977
United Arab Emirates,ARE,2016,9361000,,75876,21.70428302
United Kingdom,GBR,2016,66298000,,37334,6.030934144
United States,USA,2016,323016000,,53015,16.42848174
United States Virgin Islands,VIR,2016,105000,,,
Uruguay,URY,2016,3424000,,19468,1.95175158
Uzbekistan,UZB,2016,31442000,,10381,2.894392789
Vanuatu,VUT,2016,278000,,,0.527194245
Vatican,VAT,2016,1000,,,
Venezuela,VEN,2016,29851000,,15219,5.467451822
Vietnam,VNM,2016,93640000,,6062,1.959536423
Wallis and Futuna,WLF,2016,12000,,,
Western Sahara,ESH,2016,539000,,,
Yemen,YEM,2016,27168000,,2506,0.377011339
Zambia,ZMB,2016,16363000,,3479,0.295657682
Zimbabwe,ZWE,2016,14030000,,1534,0.770308849
